full_text,lower_case,tweet_tokens,tokens_nltk,tokens_spacy,stems_nltk,stems_spacy,stem_tweet,remove_stop_words_nltk,remove_stop_words_spacy,remove_stop_words_tweet_tokenizer
@indodax Naik 10% ppn 12% oke gas oke gas ,@indodax naik 10% ppn 12% oke gas oke gas ,"['naik', '10', '%', 'ppn', '12', '%', 'oke', 'gas', 'oke', 'gas']","['@', 'indodax', 'naik', '10', '%', 'ppn', '12', '%', 'oke', 'gas', 'oke', 'gas']","['@indodax', 'naik', '10', '%', 'ppn', '12', '%', 'oke', 'gas', 'oke', 'gas']","['@', 'indodax', 'naik', '10', '%', 'ppn', '12', '%', 'oke', 'gas', 'oke', 'gas']","['@indodax', 'naik', '10', '%', 'ppn', '12', '%', 'oke', 'gas', 'oke', 'gas']","['naik', '10', '%', 'ppn', '12', '%', 'oke', 'gas', 'oke', 'gas']","['@', 'indodax', '10', '%', 'ppn', '12', '%', 'oke', 'gas', 'oke', 'gas']","['@indodax', '10', '%', 'ppn', '12', '%', 'oke', 'gas', 'oke', 'gas']","['10', '%', 'ppn', '12', '%', 'oke', 'gas', 'oke', 'gas']"
Akhir ini banyak orang ototnya kenceng hawanya emosi ngamuk asal ceplos apakah efek dari PPN naik 12%??,akhir ini banyak orang ototnya kenceng hawanya emosi ngamuk asal ceplos apakah efek dari ppn naik 12%??,"['akhir', 'ini', 'banyak', 'orang', 'ototnya', 'kenceng', 'hawanya', 'emosi', 'ngamuk', 'asal', 'ceplos', 'apakah', 'efek', 'dari', 'ppn', 'naik', '12', '%', '?', '?']","['akhir', 'ini', 'banyak', 'orang', 'ototnya', 'kenceng', 'hawanya', 'emosi', 'ngamuk', 'asal', 'ceplos', 'apakah', 'efek', 'dari', 'ppn', 'naik', '12', '%', '?', '?']","['akhir', 'ini', 'banyak', 'orang', 'ototnya', 'kenceng', 'hawanya', 'emosi', 'ngamuk', 'asal', 'ceplos', 'apakah', 'efek', 'dari', 'ppn', 'naik', '12', '%', '?', '?']","['akhir', 'ini', 'banyak', 'orang', 'otot', 'kenceng', 'hawa', 'emosi', 'amuk', 'asal', 'ceplos', 'apakah', 'efek', 'dari', 'ppn', 'naik', '12', '%', '?', '?']","['akhir', 'ini', 'banyak', 'orang', 'otot', 'kenceng', 'hawa', 'emosi', 'amuk', 'asal', 'ceplos', 'apakah', 'efek', 'dari', 'ppn', 'naik', '12', '%', '?', '?']","['akhir', 'ini', 'banyak', 'orang', 'otot', 'kenceng', 'hawa', 'emosi', 'amuk', 'asal', 'ceplos', 'apakah', 'efek', 'dari', 'ppn', 'naik', '12', '%', '?', '?']","['orang', 'ototnya', 'kenceng', 'hawanya', 'emosi', 'ngamuk', 'ceplos', 'efek', 'ppn', '12', '%', '?', '?']","['orang', 'ototnya', 'kenceng', 'hawanya', 'emosi', 'ngamuk', 'ceplos', 'efek', 'ppn', '12', '%', '?', '?']","['orang', 'ototnya', 'kenceng', 'hawanya', 'emosi', 'ngamuk', 'ceplos', 'efek', 'ppn', '12', '%', '?', '?']"
@cloudjoonz serba salah sekarang kak cashless ppn naik 12% cash banyak uang palsu bertebaran dimana mana ,@cloudjoonz serba salah sekarang kak cashless ppn naik 12% cash banyak uang palsu bertebaran dimana mana ,"['serba', 'salah', 'sekarang', 'kak', 'cashless', 'ppn', 'naik', '12', '%', 'cash', 'banyak', 'uang', 'palsu', 'bertebaran', 'dimana', 'mana']","['@', 'cloudjoonz', 'serba', 'salah', 'sekarang', 'kak', 'cashless', 'ppn', 'naik', '12', '%', 'cash', 'banyak', 'uang', 'palsu', 'bertebaran', 'dimana', 'mana']","['@cloudjoonz', 'serba', 'salah', 'sekarang', 'kak', 'cashless', 'ppn', 'naik', '12', '%', 'cash', 'banyak', 'uang', 'palsu', 'bertebaran', 'dimana', 'mana']","['@', 'cloudjoonz', 'serba', 'salah', 'sekarang', 'kak', 'cashless', 'ppn', 'naik', '12', '%', 'cash', 'banyak', 'uang', 'palsu', 'tebar', 'mana', 'mana']","['@cloudjoonz', 'serba', 'salah', 'sekarang', 'kak', 'cashless', 'ppn', 'naik', '12', '%', 'cash', 'banyak', 'uang', 'palsu', 'tebar', 'mana', 'mana']","['serba', 'salah', 'sekarang', 'kak', 'cashless', 'ppn', 'naik', '12', '%', 'cash', 'banyak', 'uang', 'palsu', 'tebar', 'mana', 'mana']","['@', 'cloudjoonz', 'serba', 'salah', 'kak', 'cashless', 'ppn', '12', '%', 'cash', 'uang', 'palsu', 'bertebaran', 'dimana']","['@cloudjoonz', 'serba', 'salah', 'kak', 'cashless', 'ppn', '12', '%', 'cash', 'uang', 'palsu', 'bertebaran', 'dimana']","['serba', 'salah', 'kak', 'cashless', 'ppn', '12', '%', 'cash', 'uang', 'palsu', 'bertebaran', 'dimana']"
Ini Daftar Harga Langganan Netflix dan Spotify Setelah PPN Naik 12 Persen #ThePhraseID #Netflix #Spotify #PPN #PPN12Persen https://t.co/znltmrYQ5w,ini daftar harga langganan netflix dan spotify setelah ppn naik 12 persen #thephraseid #netflix #spotify #ppn #ppn12persen https://t.co/znltmryq5w,"['ini', 'daftar', 'harga', 'langganan', 'netflix', 'dan', 'spotify', 'setelah', 'ppn', 'naik', '12', 'persen', '#thephraseid', '#netflix', '#spotify', '#ppn', '#ppn12persen', 'https://t.co/znltmryq5w']","['ini', 'daftar', 'harga', 'langganan', 'netflix', 'dan', 'spotify', 'setelah', 'ppn', 'naik', '12', 'persen', '#', 'thephraseid', '#', 'netflix', '#', 'spotify', '#', 'ppn', '#', 'ppn12persen', 'https', ':', '//t.co/znltmryq5w']","['ini', 'daftar', 'harga', 'langganan', 'netflix', 'dan', 'spotify', 'setelah', 'ppn', 'naik', '12', 'persen', '#', 'thephraseid', '#', 'netflix', '#', 'spotify', '#', 'ppn', '#', 'ppn12persen', 'https://t.co/znltmryq5w']","['ini', 'daftar', 'harga', 'langgan', 'netflix', 'dan', 'spotify', 'setelah', 'ppn', 'naik', '12', 'persen', '#', 'thephraseid', '#', 'menetflix', '#', 'spotify', '#', 'ppn', '#', 'ppn12persen', 'https', ':', '//t.co/znltmryq5w']","['ini', 'daftar', 'harga', 'langgan', 'netflix', 'dan', 'spotify', 'setelah', 'ppn', 'naik', '12', 'persen', '#', 'thephraseid', '#', 'menetflix', '#', 'spotify', '#', 'ppn', '#', 'ppn12persen', 'https://t.co/znltmryq5w']","['ini', 'daftar', 'harga', 'langgan', 'netflix', 'dan', 'spotify', 'setelah', 'ppn', 'naik', '12', 'persen', '#thephraseid', '#netflix', '#spotify', '#ppn', '#ppn12persen', 'https://t.co/znltmryq5w']","['daftar', 'harga', 'langganan', 'netflix', 'spotify', 'ppn', '12', 'persen', '#', 'thephraseid', '#', 'netflix', '#', 'spotify', '#', 'ppn', '#', 'ppn12persen', 'https', ':', '//t.co/znltmryq5w']","['daftar', 'harga', 'langganan', 'netflix', 'spotify', 'ppn', '12', 'persen', '#', 'thephraseid', '#', 'netflix', '#', 'spotify', '#', 'ppn', '#', 'ppn12persen', 'https://t.co/znltmryq5w']","['daftar', 'harga', 'langganan', 'netflix', 'spotify', 'ppn', '12', 'persen', '#thephraseid', '#netflix', '#spotify', '#ppn', '#ppn12persen', 'https://t.co/znltmryq5w']"
@moscato_choco @neohistoria_id Karena sudah pasti kerugian Negara 300T nantinya Uang yg dipakai untuk merestorasi pasti dari Uang Rakyat juga ini baru PPN naik 12% disaat ekonomi rakyat yg sulit saja sudah benar2 meresahkan apalagi nanti pasti menyusul pajak2 lain yg akan naik menyusul karna kerugian2 negara,@moscato_choco @neohistoria_id karena sudah pasti kerugian negara 300t nantinya uang yg dipakai untuk merestorasi pasti dari uang rakyat juga ini baru ppn naik 12% disaat ekonomi rakyat yg sulit saja sudah benar2 meresahkan apalagi nanti pasti menyusul pajak2 lain yg akan naik menyusul karna kerugian2 negara,"['karena', 'sudah', 'pasti', 'kerugian', 'negara', '300t', 'nantinya', 'uang', 'yg', 'dipakai', 'untuk', 'merestorasi', 'pasti', 'dari', 'uang', 'rakyat', 'juga', 'ini', 'baru', 'ppn', 'naik', '12', '%', 'disaat', 'ekonomi', 'rakyat', 'yg', 'sulit', 'saja', 'sudah', 'benar', '2', 'meresahkan', 'apalagi', 'nanti', 'pasti', 'menyusul', 'pajak', '2', 'lain', 'yg', 'akan', 'naik', 'menyusul', 'karna', 'kerugian', '2', 'negara']","['@', 'moscato_choco', '@', 'neohistoria_id', 'karena', 'sudah', 'pasti', 'kerugian', 'negara', '300t', 'nantinya', 'uang', 'yg', 'dipakai', 'untuk', 'merestorasi', 'pasti', 'dari', 'uang', 'rakyat', 'juga', 'ini', 'baru', 'ppn', 'naik', '12', '%', 'disaat', 'ekonomi', 'rakyat', 'yg', 'sulit', 'saja', 'sudah', 'benar2', 'meresahkan', 'apalagi', 'nanti', 'pasti', 'menyusul', 'pajak2', 'lain', 'yg', 'akan', 'naik', 'menyusul', 'karna', 'kerugian2', 'negara']","['@moscato_choco', '@neohistoria_id', 'karena', 'sudah', 'pasti', 'kerugian', 'negara', '300', 't', 'nantinya', 'uang', 'yg', 'dipakai', 'untuk', 'merestorasi', 'pasti', 'dari', 'uang', 'rakyat', 'juga', 'ini', 'baru', 'ppn', 'naik', '12', '%', 'disaat', 'ekonomi', 'rakyat', 'yg', 'sulit', 'saja', 'sudah', 'benar2', 'meresahkan', 'apalagi', 'nanti', 'pasti', 'menyusul', 'pajak2', 'lain', 'yg', 'akan', 'naik', 'menyusul', 'karna', 'kerugian2', 'negara']","['@', 'moscato_choco', '@', 'neohistoria_id', 'karena', 'sudah', 'pasti', 'rugi', 'negara', '300t', 'nanti', 'uang', 'yang', 'pakai', 'untuk', 'restorasi', 'pasti', 'dari', 'uang', 'rakyat', 'juga', 'ini', 'baru', 'ppn', 'naik', '12', '%', 'saat', 'ekonomi', 'rakyat', 'yang', 'sulit', 'saja', 'sudah', 'benar2', 'resah', 'apalagi', 'nanti', 'pasti', 'susul', 'pajak2', 'lain', 'yang', 'akan', 'naik', 'susul', 'karna', 'kerugian2', 'negara']","['@moscato_choco', '@neohistoria_id', 'karena', 'sudah', 'pasti', 'rugi', 'negara', '300', 't', 'nanti', 'uang', 'yang', 'pakai', 'untuk', 'restorasi', 'pasti', 'dari', 'uang', 'rakyat', 'juga', 'ini', 'baru', 'ppn', 'naik', '12', '%', 'saat', 'ekonomi', 'rakyat', 'yang', 'sulit', 'saja', 'sudah', 'benar2', 'resah', 'apalagi', 'nanti', 'pasti', 'susul', 'pajak2', 'lain', 'yang', 'akan', 'naik', 'susul', 'karna', 'kerugian2', 'negara']","['karena', 'sudah', 'pasti', 'rugi', 'negara', '300t', 'nanti', 'uang', 'yang', 'pakai', 'untuk', 'restorasi', 'pasti', 'dari', 'uang', 'rakyat', 'juga', 'ini', 'baru', 'ppn', 'naik', '12', '%', 'saat', 'ekonomi', 'rakyat', 'yang', 'sulit', 'saja', 'sudah', 'benar', '2', 'resah', 'apalagi', 'nanti', 'pasti', 'susul', 'pajak', '2', 'lain', 'yang', 'akan', 'naik', 'susul', 'karna', 'rugi', '2', 'negara']","['@', 'moscato_choco', '@', 'neohistoria_id', 'kerugian', 'negara', '300t', 'uang', 'yg', 'dipakai', 'merestorasi', 'uang', 'rakyat', 'ppn', '12', '%', 'disaat', 'ekonomi', 'rakyat', 'yg', 'sulit', 'benar2', 'meresahkan', 'menyusul', 'pajak2', 'yg', 'menyusul', 'karna', 'kerugian2', 'negara']","['@moscato_choco', '@neohistoria_id', 'kerugian', 'negara', '300', 't', 'uang', 'yg', 'dipakai', 'merestorasi', 'uang', 'rakyat', 'ppn', '12', '%', 'disaat', 'ekonomi', 'rakyat', 'yg', 'sulit', 'benar2', 'meresahkan', 'menyusul', 'pajak2', 'yg', 'menyusul', 'karna', 'kerugian2', 'negara']","['kerugian', 'negara', '300t', 'uang', 'yg', 'dipakai', 'merestorasi', 'uang', 'rakyat', 'ppn', '12', '%', 'disaat', 'ekonomi', 'rakyat', 'yg', 'sulit', '2', 'meresahkan', 'menyusul', 'pajak', '2', 'yg', 'menyusul', 'karna', 'kerugian', '2', 'negara']"
Polemik PPN Naik 12 Persen Begini Tanggapan Jokowi #Polemik #PPN #12Persen #Jokowi https://t.co/It31WQClpe,polemik ppn naik 12 persen begini tanggapan jokowi #polemik #ppn #12persen #jokowi https://t.co/it31wqclpe,"['polemik', 'ppn', 'naik', '12', 'persen', 'begini', 'tanggapan', 'jokowi', '#polemik', '#ppn', '#12persen', '#jokowi', 'https://t.co/it31wqclpe']","['polemik', 'ppn', 'naik', '12', 'persen', 'begini', 'tanggapan', 'jokowi', '#', 'polemik', '#', 'ppn', '#', '12persen', '#', 'jokowi', 'https', ':', '//t.co/it31wqclpe']","['polemik', 'ppn', 'naik', '12', 'persen', 'begini', 'tanggapan', 'jokowi', '#', 'polemik', '#', 'ppn', '#', '12persen', '#', 'jokowi', 'https://t.co/it31wqclpe']","['polemik', 'ppn', 'naik', '12', 'persen', 'begini', 'tanggap', 'jokowi', '#', 'polemik', '#', 'ppn', '#', '12persen', '#', 'jokow', 'https', ':', '//t.co/it31wqclpe']","['polemik', 'ppn', 'naik', '12', 'persen', 'begini', 'tanggap', 'jokowi', '#', 'polemik', '#', 'ppn', '#', '12persen', '#', 'jokow', 'https://t.co/it31wqclpe']","['polemik', 'ppn', 'naik', '12', 'persen', 'begini', 'tanggap', 'jokowi', '#polemik', '#ppn', '#12persen', '#jokowi', 'https://t.co/it31wqclpe']","['polemik', 'ppn', '12', 'persen', 'tanggapan', 'jokowi', '#', 'polemik', '#', 'ppn', '#', '12persen', '#', 'jokowi', 'https', ':', '//t.co/it31wqclpe']","['polemik', 'ppn', '12', 'persen', 'tanggapan', 'jokowi', '#', 'polemik', '#', 'ppn', '#', '12persen', '#', 'jokowi', 'https://t.co/it31wqclpe']","['polemik', 'ppn', '12', 'persen', 'tanggapan', 'jokowi', '#polemik', '#ppn', '#12persen', '#jokowi', 'https://t.co/it31wqclpe']"
@ARSIPAJA PPN naik 12% mah ga sulit buat warga indo kan warga indo kaya ,@arsipaja ppn naik 12% mah ga sulit buat warga indo kan warga indo kaya ,"['ppn', 'naik', '12', '%', 'mah', 'ga', 'sulit', 'buat', 'warga', 'indo', 'kan', 'warga', 'indo', 'kaya']","['@', 'arsipaja', 'ppn', 'naik', '12', '%', 'mah', 'ga', 'sulit', 'buat', 'warga', 'indo', 'kan', 'warga', 'indo', 'kaya']","['@arsipaja', 'ppn', 'naik', '12', '%', 'mah', 'ga', 'sulit', 'buat', 'warga', 'indo', 'kan', 'warga', 'indo', 'kaya']","['@', 'arsipaja', 'ppn', 'naik', '12', '%', 'mah', 'tidak', 'sulit', 'buat', 'warga', 'indo', 'kan', 'warga', 'indo', 'kaya']","['@arsipaja', 'ppn', 'naik', '12', '%', 'mah', 'tidak', 'sulit', 'buat', 'warga', 'indo', 'kan', 'warga', 'indo', 'kaya']","['ppn', 'naik', '12', '%', 'mah', 'tidak', 'sulit', 'buat', 'warga', 'indo', 'kan', 'warga', 'indo', 'kaya']","['@', 'arsipaja', 'ppn', '12', '%', 'mah', 'ga', 'sulit', 'warga', 'indo', 'warga', 'indo', 'kaya']","['@arsipaja', 'ppn', '12', '%', 'mah', 'ga', 'sulit', 'warga', 'indo', 'warga', 'indo', 'kaya']","['ppn', '12', '%', 'mah', 'ga', 'sulit', 'warga', 'indo', 'warga', 'indo', 'kaya']"
@Y_Radianto Oneng menolak PPN 12% karena menganggap akan membuat harga2 naik yg menyulitkan masyarakat. Tp dulu toh dia ngotot agar pemerintah menaikan upah minimum buruh sampai 30% padahal itu juga sama akan membuat harga2 naik dan menyulitkan masyarakat. Standar ganda?,@y_radianto oneng menolak ppn 12% karena menganggap akan membuat harga2 naik yg menyulitkan masyarakat. tp dulu toh dia ngotot agar pemerintah menaikan upah minimum buruh sampai 30% padahal itu juga sama akan membuat harga2 naik dan menyulitkan masyarakat. standar ganda?,"['oneng', 'menolak', 'ppn', '12', '%', 'karena', 'menganggap', 'akan', 'membuat', 'harga', '2', 'naik', 'yg', 'menyulitkan', 'masyarakat', '.', 'tp', 'dulu', 'toh', 'dia', 'ngotot', 'agar', 'pemerintah', 'menaikan', 'upah', 'minimum', 'buruh', 'sampai', '30', '%', 'padahal', 'itu', 'juga', 'sama', 'akan', 'membuat', 'harga', '2', 'naik', 'dan', 'menyulitkan', 'masyarakat', '.', 'standar', 'ganda', '?']","['@', 'y_radianto', 'oneng', 'menolak', 'ppn', '12', '%', 'karena', 'menganggap', 'akan', 'membuat', 'harga2', 'naik', 'yg', 'menyulitkan', 'masyarakat', '.', 'tp', 'dulu', 'toh', 'dia', 'ngotot', 'agar', 'pemerintah', 'menaikan', 'upah', 'minimum', 'buruh', 'sampai', '30', '%', 'padahal', 'itu', 'juga', 'sama', 'akan', 'membuat', 'harga2', 'naik', 'dan', 'menyulitkan', 'masyarakat', '.', 'standar', 'ganda', '?']","['@y_radianto', 'oneng', 'menolak', 'ppn', '12', '%', 'karena', 'menganggap', 'akan', 'membuat', 'harga2', 'naik', 'yg', 'menyulitkan', 'masyarakat', '.', 'tp', 'dulu', 'toh', 'dia', 'ngotot', 'agar', 'pemerintah', 'menaikan', 'upah', 'minimum', 'buruh', 'sampai', '30', '%', 'padahal', 'itu', 'juga', 'sama', 'akan', 'membuat', 'harga2', 'naik', 'dan', 'menyulitkan', 'masyarakat', '.', 'standar', 'ganda', '?']","['@', 'y_radianto', 'oneng', 'tolak', 'ppn', '12', '%', 'karena', 'anggap', 'akan', 'buat', 'harga2', 'naik', 'yang', 'sulit', 'masyarakat', '.', 'tp', 'dulu', 'toh', 'dia', 'otot', 'agar', 'perin', 'menaikan', 'upah', 'minimum', 'buruh', 'sampai', '30', '%', 'padahal', 'itu', 'juga', 'sama', 'akan', 'buat', 'harga2', 'naik', 'dan', 'sulit', 'masyarakat', '.', 'standar', 'ganda', '?']","['@y_radianto', 'oneng', 'tolak', 'ppn', '12', '%', 'karena', 'anggap', 'akan', 'buat', 'harga2', 'naik', 'yang', 'sulit', 'masyarakat', '.', 'tp', 'dulu', 'toh', 'dia', 'otot', 'agar', 'perin', 'menaikan', 'upah', 'minimum', 'buruh', 'sampai', '30', '%', 'padahal', 'itu', 'juga', 'sama', 'akan', 'buat', 'harga2', 'naik', 'dan', 'sulit', 'masyarakat', '.', 'standar', 'ganda', '?']","['oneng', 'tolak', 'ppn', '12', '%', 'karena', 'anggap', 'akan', 'buat', 'harga', '2', 'naik', 'yang', 'sulit', 'masyarakat', '.', 'tp', 'dulu', 'toh', 'dia', 'otot', 'agar', 'perin', 'menaikan', 'upah', 'minimum', 'buruh', 'sampai', '30', '%', 'padahal', 'itu', 'juga', 'sama', 'akan', 'buat', 'harga', '2', 'naik', 'dan', 'sulit', 'masyarakat', '.', 'standar', 'ganda', '?']","['@', 'y_radianto', 'oneng', 'menolak', 'ppn', '12', '%', 'menganggap', 'harga2', 'yg', 'menyulitkan', 'masyarakat', '.', 'tp', 'ngotot', 'pemerintah', 'menaikan', 'upah', 'minimum', 'buruh', '30', '%', 'harga2', 'menyulitkan', 'masyarakat', '.', 'standar', 'ganda', '?']","['@y_radianto', 'oneng', 'menolak', 'ppn', '12', '%', 'menganggap', 'harga2', 'yg', 'menyulitkan', 'masyarakat', '.', 'tp', 'ngotot', 'pemerintah', 'menaikan', 'upah', 'minimum', 'buruh', '30', '%', 'harga2', 'menyulitkan', 'masyarakat', '.', 'standar', 'ganda', '?']","['oneng', 'menolak', 'ppn', '12', '%', 'menganggap', 'harga', '2', 'yg', 'menyulitkan', 'masyarakat', '.', 'tp', 'ngotot', 'pemerintah', 'menaikan', 'upah', 'minimum', 'buruh', '30', '%', 'harga', '2', 'menyulitkan', 'masyarakat', '.', 'standar', 'ganda', '?']"
agenda bahagia 1 januari 1. beli skin hutao 2. gacha mavuika 3. gacha citlali 4. gajian fate 5. gajian imaginarum theater 6. gajian kantor 7. gajian joki agenda tidak bahagia 1 januari 1. PPN NAIK jd 12%,agenda bahagia 1 januari 1. beli skin hutao 2. gacha mavuika 3. gacha citlali 4. gajian fate 5. gajian imaginarum theater 6. gajian kantor 7. gajian joki agenda tidak bahagia 1 januari 1. ppn naik jd 12%,"['agenda', 'bahagia', '1', 'januari', '1', '.', 'beli', 'skin', 'hutao', '2', '.', 'gacha', 'mavuika', '3', '.', 'gacha', 'citlali', '4', '.', 'gajian', 'fate', '5', '.', 'gajian', 'imaginarum', 'theater', '6', '.', 'gajian', 'kantor', '7', '.', 'gajian', 'joki', 'agenda', 'tidak', 'bahagia', '1', 'januari', '1', '.', 'ppn', 'naik', 'jd', '12', '%']","['agenda', 'bahagia', '1', 'januari', '1.', 'beli', 'skin', 'hutao', '2.', 'gacha', 'mavuika', '3.', 'gacha', 'citlali', '4.', 'gajian', 'fate', '5.', 'gajian', 'imaginarum', 'theater', '6.', 'gajian', 'kantor', '7.', 'gajian', 'joki', 'agenda', 'tidak', 'bahagia', '1', 'januari', '1.', 'ppn', 'naik', 'jd', '12', '%']","['agenda', 'bahagia', '1', 'januari', '1', '.', 'beli', 'skin', 'hutao', '2', '.', 'gacha', 'mavuika', '3', '.', 'gacha', 'citlali', '4', '.', 'gajian', 'fate', '5', '.', 'gajian', 'imaginarum', 'theater', '6', '.', 'gajian', 'kantor', '7', '.', 'gajian', 'joki', 'agenda', 'tidak', 'bahagia', '1', 'januari', '1', '.', 'ppn', 'naik', 'jd', '12', '%']","['agenda', 'bahagia', '1', 'januari', '1.', 'beli', 'skin', 'hutao', '2.', 'gacha', 'mavuika', '3.', 'gacha', 'citlali', '4.', 'gaji', 'fate', '5.', 'gaji', 'imaginarum', 'theater', '6.', 'gaji', 'kantor', '7.', 'gaji', 'joki', 'agenda', 'tidak', 'bahagia', '1', 'januari', '1.', 'ppn', 'naik', 'jd', '12', '%']","['agenda', 'bahagia', '1', 'januari', '1', '.', 'beli', 'skin', 'hutao', '2', '.', 'gacha', 'mavuika', '3', '.', 'gacha', 'citlali', '4', '.', 'gaji', 'fate', '5', '.', 'gaji', 'imaginarum', 'theater', '6', '.', 'gaji', 'kantor', '7', '.', 'gaji', 'joki', 'agenda', 'tidak', 'bahagia', '1', 'januari', '1', '.', 'ppn', 'naik', 'jd', '12', '%']","['agenda', 'bahagia', '1', 'januari', '1', '.', 'beli', 'skin', 'hutao', '2', '.', 'gacha', 'mavuika', '3', '.', 'gacha', 'citlali', '4', '.', 'gaji', 'fate', '5', '.', 'gaji', 'imaginarum', 'theater', '6', '.', 'gaji', 'kantor', '7', '.', 'gaji', 'joki', 'agenda', 'tidak', 'bahagia', '1', 'januari', '1', '.', 'ppn', 'naik', 'jd', '12', '%']","['agenda', 'bahagia', '1', 'januari', '1.', 'beli', 'skin', 'hutao', '2.', 'gacha', 'mavuika', '3.', 'gacha', 'citlali', '4.', 'gajian', 'fate', '5.', 'gajian', 'imaginarum', 'theater', '6.', 'gajian', 'kantor', '7.', 'gajian', 'joki', 'agenda', 'bahagia', '1', 'januari', '1.', 'ppn', 'jd', '12', '%']","['agenda', 'bahagia', '1', 'januari', '1', '.', 'beli', 'skin', 'hutao', '2', '.', 'gacha', 'mavuika', '3', '.', 'gacha', 'citlali', '4', '.', 'gajian', 'fate', '5', '.', 'gajian', 'imaginarum', 'theater', '6', '.', 'gajian', 'kantor', '7', '.', 'gajian', 'joki', 'agenda', 'bahagia', '1', 'januari', '1', '.', 'ppn', 'jd', '12', '%']","['agenda', 'bahagia', '1', 'januari', '1', '.', 'beli', 'skin', 'hutao', '2', '.', 'gacha', 'mavuika', '3', '.', 'gacha', 'citlali', '4', '.', 'gajian', 'fate', '5', '.', 'gajian', 'imaginarum', 'theater', '6', '.', 'gajian', 'kantor', '7', '.', 'gajian', 'joki', 'agenda', 'bahagia', '1', 'januari', '1', '.', 'ppn', 'jd', '12', '%']"
Pahami Cara Menghitung PPN Naik 12 Persen Ini Barang-Barang yang Akan Naik https://t.co/3sjHKJESUI,pahami cara menghitung ppn naik 12 persen ini barang-barang yang akan naik https://t.co/3sjhkjesui,"['pahami', 'cara', 'menghitung', 'ppn', 'naik', '12', 'persen', 'ini', 'barang-barang', 'yang', 'akan', 'naik', 'https://t.co/3sjhkjesui']","['pahami', 'cara', 'menghitung', 'ppn', 'naik', '12', 'persen', 'ini', 'barang-barang', 'yang', 'akan', 'naik', 'https', ':', '//t.co/3sjhkjesui']","['pahami', 'cara', 'menghitung', 'ppn', 'naik', '12', 'persen', 'ini', 'barang', '-', 'barang', 'yang', 'akan', 'naik', 'https://t.co/3sjhkjesui']","['paham', 'cara', 'hitung', 'ppn', 'naik', '12', 'persen', 'ini', 'barang-barang', 'yang', 'akan', 'naik', 'https', ':', '//t.co/3sjhkjesui']","['paham', 'cara', 'hitung', 'ppn', 'naik', '12', 'persen', 'ini', 'barang', '-', 'barang', 'yang', 'akan', 'naik', 'https://t.co/3sjhkjesui']","['paham', 'cara', 'hitung', 'ppn', 'naik', '12', 'persen', 'ini', 'barang-barang', 'yang', 'akan', 'naik', 'https://t.co/3sjhkjesui']","['pahami', 'menghitung', 'ppn', '12', 'persen', 'barang-barang', 'https', ':', '//t.co/3sjhkjesui']","['pahami', 'menghitung', 'ppn', '12', 'persen', 'barang', '-', 'barang', 'https://t.co/3sjhkjesui']","['pahami', 'menghitung', 'ppn', '12', 'persen', 'barang-barang', 'https://t.co/3sjhkjesui']"
Ini ppn 12% supplier2 udah pada info per 1 januari naik jd siap siap aja deh makanan dan minuman olahan jadi naik harga,ini ppn 12% supplier2 udah pada info per 1 januari naik jd siap siap aja deh makanan dan minuman olahan jadi naik harga,"['ini', 'ppn', '12', '%', 'supplier', '2', 'udah', 'pada', 'info', 'per', '1', 'januari', 'naik', 'jd', 'siap', 'siap', 'aja', 'deh', 'makanan', 'dan', 'minuman', 'olahan', 'jadi', 'naik', 'harga']","['ini', 'ppn', '12', '%', 'supplier2', 'udah', 'pada', 'info', 'per', '1', 'januari', 'naik', 'jd', 'siap', 'siap', 'aja', 'deh', 'makanan', 'dan', 'minuman', 'olahan', 'jadi', 'naik', 'harga']","['ini', 'ppn', '12', '%', 'supplier2', 'udah', 'pada', 'info', 'per', '1', 'januari', 'naik', 'jd', 'siap', 'siap', 'aja', 'deh', 'makanan', 'dan', 'minuman', 'olahan', 'jadi', 'naik', 'harga']","['ini', 'ppn', '12', '%', 'supplier2', 'udah', 'pada', 'info', 'per', '1', 'januari', 'naik', 'jd', 'siap', 'siap', 'aja', 'deh', 'makan', 'dan', 'minum', 'olah', 'jadi', 'naik', 'harga']","['ini', 'ppn', '12', '%', 'supplier2', 'udah', 'pada', 'info', 'per', '1', 'januari', 'naik', 'jd', 'siap', 'siap', 'aja', 'deh', 'makan', 'dan', 'minum', 'olah', 'jadi', 'naik', 'harga']","['ini', 'ppn', '12', '%', 'supplier', '2', 'udah', 'pada', 'info', 'per', '1', 'januari', 'naik', 'jd', 'siap', 'siap', 'aja', 'deh', 'makan', 'dan', 'minum', 'olah', 'jadi', 'naik', 'harga']","['ppn', '12', '%', 'supplier2', 'udah', 'info', '1', 'januari', 'jd', 'aja', 'deh', 'makanan', 'minuman', 'olahan', 'harga']","['ppn', '12', '%', 'supplier2', 'udah', 'info', '1', 'januari', 'jd', 'aja', 'deh', 'makanan', 'minuman', 'olahan', 'harga']","['ppn', '12', '%', 'supplier', '2', 'udah', 'info', '1', 'januari', 'jd', 'aja', 'deh', 'makanan', 'minuman', 'olahan', 'harga']"
