full_text,lower_case,remove_slang,remove_elongation,emoji_to_text,tweet_tokens,stem,remove_stopwords,remove_stop_words_nltk
a day before ppn naik jadi 12%,a day before ppn naik jadi 12,a day before ppn naik jadi 12,a day before ppn naik jadi 12,a day before ppn naik jadi 12,"['a', 'day', 'before', 'ppn', 'naik', 'jadi', '12']","['a', 'day', 'before', 'ppn', 'naik', 'jadi', '12']","['a', 'day', 'before', 'ppn', '12']","['a', 'day', 'before', 'ppn', '12']"
Memasuki 2025 ppn naik 12% dan kontrak kerja habis. Mengheningkan cipta mulai,memasuki 2025 ppn naik 12 dan kontrak kerja habis mengheningkan cipta mulai,memasuki 2025 ppn naik 12 dan kontrak kerja habis mengheningkan cipta mulai,memasuki 2025 ppn naik 12 dan kontrak kerja habis mengheningkan cipta mulai,memasuki 2025 ppn naik 12 dan kontrak kerja habis mengheningkan cipta mulai,"['memasuki', '2025', 'ppn', 'naik', '12', 'dan', 'kontrak', 'kerja', 'habis', 'mengheningkan', 'cipta', 'mulai']","['masuk', '2025', 'ppn', 'naik', '12', 'dan', 'kontrak', 'kerja', 'habis', 'hening', 'cipta', 'mulai']","['masuk', '2025', 'ppn', '12', 'kontrak', 'kerja', 'habis', 'hening', 'cipta']","['masuk', '2025', 'ppn', '12', 'kontrak', 'kerja', 'habis', 'hening', 'cipta']"
@abrianabitha Ga kepikiran ppn naik 12% besok,@abrianabitha ga kepikiran ppn naik 12 besok,@abrianabitha enggak kepikiran ppn naik 12 besok,@abrianabitha enggak kepikiran ppn naik 12 besok,@abrianabitha enggak kepikiran ppn naik 12 besok,"['enggak', 'kepikiran', 'ppn', 'naik', '12', 'besok']","['tidak', 'pikir', 'ppn', 'naik', '12', 'besok']","['pikir', 'ppn', '12', 'besok']","['pikir', 'ppn', '12', 'besok']"
Pagi semua mari kita jajan sebelum besok ppn dah naik 12%,pagi semua mari kita jajan sebelum besok ppn dah naik 12,pagi semua mari kita jajan sebelum besok ppn deh naik 12,pagi semua mari kita jajan sebelum besok ppn deh naik 12,pagi semua mari kita jajan sebelum besok ppn deh naik 12,"['pagi', 'semua', 'mari', 'kita', 'jajan', 'sebelum', 'besok', 'ppn', 'deh', 'naik', '12']","['pagi', 'semua', 'mari', 'kita', 'jajan', 'belum', 'besok', 'ppn', 'deh', 'naik', '12']","['pagi', 'mari', 'jajan', 'besok', 'ppn', 'deh', '12']","['pagi', 'mari', 'jajan', 'besok', 'ppn', '12']"
PPN dari 10% ke 11% itu bukan naik 1% tapi naik 10%! Sekarang dari 11% mau naik ke 12%. Itu naik 9%! Dengan segala macam situasi pengelolaan publik saat ini kecewa sih dengan kenaikan ini. Sangat memberatkan dan unfaedah ke WNI!,ppn dari 10 ke 11 itu bukan naik 1 tapi naik 10 sekarang dari 11 mau naik ke 12 itu naik 9 dengan segala macam situasi pengelolaan publik saat ini kecewa sih dengan kenaikan ini sangat memberatkan dan unfaedah ke wni,ppn dari 10 ke 11 itu bukan naik 1 tapi naik 10 sekarang dari 11 mau naik ke 12 itu naik 9 dengan segala macam situasi pengelolaan publik saat ini kecewa sih dengan kenaikan ini sangat memberatkan dan unfaedah ke wni,ppn dari 10 ke 11 itu bukan naik 1 tapi naik 10 sekarang dari 11 mau naik ke 12 itu naik 9 dengan segala macam situasi pengelolaan publik saat ini kecewa sih dengan kenaikan ini sangat memberatkan dan unfaedah ke wni,ppn dari 10 ke 11 itu bukan naik 1 tapi naik 10 sekarang dari 11 mau naik ke 12 itu naik 9 dengan segala macam situasi pengelolaan publik saat ini kecewa sih dengan kenaikan ini sangat memberatkan dan unfaedah ke wni,"['ppn', 'dari', '10', 'ke', '11', 'itu', 'bukan', 'naik', '1', 'tapi', 'naik', '10', 'sekarang', 'dari', '11', 'mau', 'naik', 'ke', '12', 'itu', 'naik', '9', 'dengan', 'segala', 'macam', 'situasi', 'pengelolaan', 'publik', 'saat', 'ini', 'kecewa', 'sih', 'dengan', 'kenaikan', 'ini', 'sangat', 'memberatkan', 'dan', 'unfaedah', 'ke', 'wni']","['ppn', 'dari', '10', 'ke', '11', 'itu', 'bukan', 'naik', '1', 'tapi', 'naik', '10', 'sekarang', 'dari', '11', 'mau', 'naik', 'ke', '12', 'itu', 'naik', '9', 'dengan', 'segala', 'macam', 'situasi', 'kelola', 'publik', 'saat', 'ini', 'kecewa', 'sih', 'dengan', 'kenaikan', 'ini', 'sangat', 'berat', 'dan', 'unfaedah', 'ke', 'wni']","['ppn', '10', '11', '1', '10', '11', '12', '9', 'situasi', 'kelola', 'publik', 'kecewa', 'sih', 'kenaikan', 'berat', 'unfaedah', 'wni']","['ppn', '10', '11', '1', '10', '11', '12', '9', 'situasi', 'kelola', 'publik', 'kecewa', 'kenaikan', 'berat', 'unfaedah', 'wni']"
Ayo.. Mari sampaikan kpd @prabowo untk membatalkan kenaikan PPN 12% itu Pasti ada jalan keluar lain.. Bukankah.. 1.Harta KORUPTOR bisa dirampas Negara ? 2.Kekayaan Alam sprti bahan tambang bs diolah negara untk kesejahteraan rakyat shingg pajak tak perlu Naik? #TumpasKorupsiEdan,ayo mari sampaikan kpd @prabowo untk membatalkan kenaikan ppn 12 itu pasti ada jalan keluar lain bukankah 1harta koruptor bisa dirampas negara  2kekayaan alam sprti bahan tambang bs diolah negara untk kesejahteraan rakyat shingg pajak tak perlu naik #tumpaskorupsiedan,ayo mari sampaikan kepada @prabowo untuk membatalkan kenaikan ppn 12 itu pasti ada jalan keluar lain bukankah 1harta koruptor bisa dirampas negara  2kekayaan alam seperti bahan tambang bisa diolah negara untuk kesejahteraan rakyat shingg pajak tak perlu naik #tumpaskorupsiedan,ayo mari sampaikan kepada @prabowo untuk membatalkan kenaikan ppn 12 itu pasti ada jalan keluar lain bukankah 1harta koruptor bisa dirampas negara  2kekayaan alam seperti bahan tambang bisa diolah negara untuk kesejahteraan rakyat shing pajak tak perlu naik #tumpaskorupsiedan,ayo mari sampaikan kepada @prabowo untuk membatalkan kenaikan ppn 12 itu pasti ada jalan keluar lain bukankah 1harta koruptor bisa dirampas negara  2kekayaan alam seperti bahan tambang bisa diolah negara untuk kesejahteraan rakyat shing pajak tak perlu naik #tumpaskorupsiedan,"['ayo', 'mari', 'sampaikan', 'kepada', 'untuk', 'membatalkan', 'kenaikan', 'ppn', '12', 'itu', 'pasti', 'ada', 'jalan', 'keluar', 'lain', 'bukankah', '1harta', 'koruptor', 'bisa', 'dirampas', 'negara', '2kekayaan', 'alam', 'seperti', 'bahan', 'tambang', 'bisa', 'diolah', 'negara', 'untuk', 'kesejahteraan', 'rakyat', 'shing', 'pajak', 'tak', 'perlu', 'naik', '#tumpaskorupsiedan']","['ayo', 'mari', 'sampai', 'kepada', 'untuk', 'batal', 'kenaikan', 'ppn', '12', 'itu', 'pasti', 'ada', 'jalan', 'keluar', 'lain', 'bukan', '1harta', 'koruptor', 'bisa', 'rampas', 'negara', '2kekayaan', 'alam', 'seperti', 'bahan', 'tambang', 'bisa', 'diolah', 'negara', 'untuk', 'sejahtera', 'rakyat', 'shing', 'pajak', 'tak', 'perlu', 'naik', '#tumpaskorupsiedan']","['ayo', 'mari', 'batal', 'kenaikan', 'ppn', '12', 'jalan', '1harta', 'koruptor', 'rampas', 'negara', '2kekayaan', 'alam', 'bahan', 'tambang', 'diolah', 'negara', 'sejahtera', 'rakyat', 'shing', 'pajak', '#tumpaskorupsiedan']","['ayo', 'mari', 'batal', 'kenaikan', 'ppn', '12', 'jalan', '1harta', 'koruptor', 'rampas', 'negara', '2kekayaan', 'alam', 'bahan', 'tambang', 'diolah', 'negara', 'sejahtera', 'rakyat', 'shing', 'pajak', '#tumpaskorupsiedan']"
@ronaldy596 Kenapa ditolak PPN naik ke 12% Kenapa gak didemo koruptor² bangsat itu,@ronaldy596 kenapa ditolak ppn naik ke 12 kenapa gak didemo koruptor² bangsat itu,@ronaldy596 kenapa ditolak ppn naik ke 12 kenapa enggak didemo koruptor² bangsat itu,@ronaldy596 kenapa ditolak ppn naik ke 12 kenapa enggak didemo koruptor² bangsat itu,@ronaldy596 kenapa ditolak ppn naik ke 12 kenapa enggak didemo koruptor² bangsat itu,"['kenapa', 'ditolak', 'ppn', 'naik', 'ke', '12', 'kenapa', 'enggak', 'didemo', 'koruptor', '²', 'bangsat', 'itu']","['kenapa', 'tolak', 'ppn', 'naik', 'ke', '12', 'kenapa', 'tidak', 'demo', 'koruptor', '²', 'bangsat', 'itu']","['tolak', 'ppn', '12', 'demo', 'koruptor', '²', 'bangsat']","['tolak', 'ppn', '12', 'demo', 'koruptor', '²', 'bangsat']"
@keretaapikita Kok gembira min? Brrti PPN naik 12% kabar buruk ya ?? ,@keretaapikita kok gembira min brrti ppn naik 12 kabar buruk ya  ,@keretaapikita kok gembira min berarti ppn naik 12 kabar buruk ya  ,@keretaapikita kok gembira min berarti ppn naik 12 kabar buruk ya  ,@keretaapikita kok gembira min berarti ppn naik 12 kabar buruk ya  ,"['kok', 'gembira', 'min', 'berarti', 'ppn', 'naik', '12', 'kabar', 'buruk', 'ya']","['kok', 'gembira', 'min', 'arti', 'ppn', 'naik', '12', 'kabar', 'buruk', 'iya']","['gembira', 'min', 'arti', 'ppn', '12', 'kabar', 'buruk', 'iya']","['gembira', 'min', 'arti', 'ppn', '12', 'kabar', 'buruk']"
Selamat tanggal 31.. besok Ppn naik 12%.. yang masih ada privilege ayo stok belanjaan dengan ukuran gentong supaya mengurangi konsumsi di 2025 ,selamat tanggal 31 besok ppn naik 12 yang masih ada privilege ayo stok belanjaan dengan ukuran gentong supaya mengurangi konsumsi di 2025 ,selamat tanggal 31 besok ppn naik 12 yang masih ada privilege ayo stok belanjaan dengan ukuran gentong supaya mengurangi konsumsi di 2025 ,selamat tanggal 31 besok ppn naik 12 yang masih ada privilege ayo stok belanjaan dengan ukuran gentong supaya mengurangi konsumsi di 2025 ,selamat tanggal 31 besok ppn naik 12 yang masih ada privilege ayo stok belanjaan dengan ukuran gentong supaya mengurangi konsumsi di 2025 ,"['selamat', 'tanggal', '31', 'besok', 'ppn', 'naik', '12', 'yang', 'masih', 'ada', 'privilege', 'ayo', 'stok', 'belanjaan', 'dengan', 'ukuran', 'gentong', 'supaya', 'mengurangi', 'konsumsi', 'di', '2025']","['selamat', 'tanggal', '31', 'besok', 'ppn', 'naik', '12', 'yang', 'masih', 'ada', 'privilege', 'ayo', 'stok', 'belanja', 'dengan', 'ukur', 'gentong', 'supaya', 'kurang', 'konsumsi', 'di', '2025']","['selamat', 'tanggal', '31', 'besok', 'ppn', '12', 'privilege', 'ayo', 'stok', 'belanja', 'ukur', 'gentong', 'konsumsi', '2025']","['selamat', 'tanggal', '31', 'besok', 'ppn', '12', 'privilege', 'ayo', 'stok', 'belanja', 'ukur', 'gentong', 'konsumsi', '2025']"
@kompascom Gimana ini pak @prabowo ??? Udahlah ppn naik harga2 naik biaya ibadah pun naik. Semua yang dibayarkan rakyat harus naik. Tapi yang maling duit negara sampe triliyunan itu kenapa turun dari 12 ke 6??? Gak takut hisaban Allah pak @prabowo ???,@kompascom gimana ini pak @prabowo  udahlah ppn naik harga2 naik biaya ibadah pun naik semua yang dibayarkan rakyat harus naik tapi yang maling duit negara sampe triliyunan itu kenapa turun dari 12 ke 6 gak takut hisaban allah pak @prabowo ,@kompascom bagaimana ini pak @prabowo  sudahlah ppn naik harga2 naik biaya ibadah pun naik semua yang dibayarkan rakyat harus naik tapi yang maling duit negara sampai triliyunan itu kenapa turun dari 12 ke 6 enggak takut hisaban allah pak @prabowo ,@kompascom bagaimana ini pak @prabowo  sudahlah ppn naik harga2 naik biaya ibadah pun naik semua yang dibayarkan rakyat harus naik tapi yang maling duit negara sampai triliyunan itu kenapa turun dari 12 ke 6 enggak takut hisaban allah pak @prabowo ,@kompascom bagaimana ini pak @prabowo  sudahlah ppn naik harga2 naik biaya ibadah pun naik semua yang dibayarkan rakyat harus naik tapi yang maling duit negara sampai triliyunan itu kenapa turun dari 12 ke 6 enggak takut hisaban allah pak @prabowo ,"['bagaimana', 'ini', 'pak', 'sudahlah', 'ppn', 'naik', 'harga', '2', 'naik', 'biaya', 'ibadah', 'pun', 'naik', 'semua', 'yang', 'dibayarkan', 'rakyat', 'harus', 'naik', 'tapi', 'yang', 'maling', 'duit', 'negara', 'sampai', 'triliyunan', 'itu', 'kenapa', 'turun', 'dari', '12', 'ke', '6', 'enggak', 'takut', 'hisaban', 'allah', 'pak']","['bagaimana', 'ini', 'pak', 'sudah', 'ppn', 'naik', 'harga', '2', 'naik', 'biaya', 'ibadah', 'pun', 'naik', 'semua', 'yang', 'bayar', 'rakyat', 'harus', 'naik', 'tapi', 'yang', 'maling', 'duit', 'negara', 'sampai', 'triliyunan', 'itu', 'kenapa', 'turun', 'dari', '12', 'ke', '6', 'tidak', 'takut', 'hisab', 'allah', 'pak']","['ppn', 'harga', '2', 'biaya', 'ibadah', 'bayar', 'rakyat', 'maling', 'duit', 'negara', 'triliyunan', 'turun', '12', '6', 'takut', 'hisab', 'allah']","['ppn', 'harga', '2', 'biaya', 'ibadah', 'bayar', 'rakyat', 'maling', 'duit', 'negara', 'triliyunan', 'turun', '12', '6', 'takut', 'hisab', 'allah']"
